physical_noise,measurement_noise,baseline_logical_success,ai_logical_success,absolute_gain,relative_gain,baseline_logical_error,ai_logical_error,logical_error_reduction,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,seed_count,test_samples_per_seed
0.01,0.0,0.9928333333333333,0.9936666666666666,0.0008333333333333334,0.000839348665435622,0.0071666666666666545,0.006333333333333413,0.11627906976742926,0.0,0.002,1.0,3,2000
0.03,0.0,0.9545,0.976,0.021500000000000002,0.022524882137244632,0.045499999999999985,0.02400000000000002,0.4725274725274719,0.014166666666666666,0.029166666666666664,0.00039996000399960006,3,2000
0.05,0.0,0.8926666666666666,0.9481666666666667,0.0555,0.062173263629574316,0.10733333333333339,0.05183333333333329,0.5170807453416156,0.043166666666666666,0.068,9.999000099990002e-05,3,2000
0.1,0.0,0.7341666666666667,0.8416666666666667,0.1075,0.14642451759364358,0.26583333333333325,0.15833333333333333,0.40438871473354215,0.08766666666666667,0.12733333333333333,9.999000099990002e-05,3,2000
0.15,0.0,0.6275000000000001,0.7196666666666666,0.09216666666666666,0.14687915006640104,0.37249999999999994,0.28033333333333343,0.24742729306487657,0.06816666666666667,0.11599999999999999,9.999000099990002e-05,3,2000
0.2,0.0,0.5508333333333333,0.5991666666666667,0.04833333333333334,0.08774583963691379,0.4491666666666667,0.40083333333333326,0.10760667903525072,0.02366666666666667,0.0735,0.006299370062993701,3,2000
