physical_noise,baseline_logical_success,ai_logical_success,paired_gain,bootstrap_ci_low,bootstrap_ci_high
0.01,0.9928333333333333,0.9936666666666666,0.0008333333333333334,0.0,0.002
0.03,0.9545,0.976,0.021500000000000002,0.014166666666666666,0.029166666666666664
0.05,0.8926666666666666,0.9481666666666667,0.0555,0.043166666666666666,0.068
0.1,0.7341666666666667,0.8416666666666667,0.1075,0.08766666666666667,0.12733333333333333
0.15,0.6275000000000001,0.7196666666666666,0.09216666666666666,0.06816666666666667,0.11599999999999999
0.2,0.5508333333333333,0.5991666666666667,0.04833333333333334,0.02366666666666667,0.0735
